category,value,substitution,scenario,measure,basis
4,-744.0560105493466,presub,tracker_new_301_2026-07-21,level,2025 dollars
5,-900.1560303692917,presub,tracker_new_301_2026-07-21,level,2025 dollars
6,-1023.9482151654986,presub,tracker_new_301_2026-07-21,level,2025 dollars
7,-1145.6081664663338,presub,tracker_new_301_2026-07-21,level,2025 dollars
8,-1322.4186553360637,presub,tracker_new_301_2026-07-21,level,2025 dollars
9,-1534.9934549087698,presub,tracker_new_301_2026-07-21,level,2025 dollars
10,-2595.8493689385323,presub,tracker_new_301_2026-07-21,level,2025 dollars
Total,-1119.4168033741043,presub,tracker_new_301_2026-07-21,level,2025 dollars
1,-528.6533880094895,postsub,tracker_new_301_2026-07-21,level,2025 dollars
2,-528.5571578340005,postsub,tracker_new_301_2026-07-21,level,2025 dollars
3,-620.8177522559257,postsub,tracker_new_301_2026-07-21,level,2025 dollars
4,-647.8762577191803,postsub,tracker_new_301_2026-07-21,level,2025 dollars
5,-783.798144293509,postsub,tracker_new_301_2026-07-21,level,2025 dollars
6,-891.5884400286831,postsub,tracker_new_301_2026-07-21,level,2025 dollars
7,-997.5221235760932,postsub,tracker_new_301_2026-07-21,level,2025 dollars
8,-1151.4773584378402,postsub,tracker_new_301_2026-07-21,level,2025 dollars
9,-1336.5738614966458,postsub,tracker_new_301_2026-07-21,level,2025 dollars
10,-2260.299158807822,postsub,tracker_new_301_2026-07-21,level,2025 dollars
Total,-974.716364245919,postsub,tracker_new_301_2026-07-21,level,2025 dollars
1,15.193546171512537,presub,tracker_no_s338_2026-07-21,delta_vs_default,2025 dollars
2,15.190780507568036,presub,tracker_no_s338_2026-07-21,delta_vs_default,2025 dollars
3,17.842358333331504,presub,tracker_no_s338_2026-07-21,delta_vs_default,2025 dollars
4,18.620022226938715,presub,tracker_no_s338_2026-07-21,delta_vs_default,2025 dollars
5,22.526429536956755,presub,tracker_no_s338_2026-07-21,delta_vs_default,2025 dollars
6,25.624332382637533,presub,tracker_no_s338_2026-07-21,delta_vs_default,2025 dollars
7,28.66887602616964,presub,tracker_no_s338_2026-07-21,delta_vs_default,2025 dollars
8,33.093563396519016,presub,tracker_no_s338_2026-07-21,delta_vs_default,2025 dollars
9,38.413253630603094,presub,tracker_no_s338_2026-07-21,delta_vs_default,2025 dollars
10,64.96120219731029,presub,tracker_no_s338_2026-07-21,delta_vs_default,2025 dollars
Total,28.013436440954706,presub,tracker_no_s338_2026-07-21,delta_vs_default,2025 dollars
1,12.613977591265211,postsub,tracker_no_s338_2026-07-21,delta_vs_default,2025 dollars
2,12.611681483258081,postsub,tracker_no_s338_2026-07-21,delta_vs_default,2025 dollars
3,14.813072975284399,postsub,tracker_no_s338_2026-07-21,delta_vs_default,2025 dollars
