category,value,substitution,scenario,measure,basis
2,-13.744710091046386,presub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,2025 dollars
3,-16.143873746976396,presub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,2025 dollars
4,-16.847508741937986,presub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,2025 dollars
5,-20.3820497055832,presub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,2025 dollars
6,-23.185050939318216,presub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,2025 dollars
7,-25.939772444183745,presub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,2025 dollars
8,-29.943256341450933,presub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,2025 dollars
9,-34.7565442436246,presub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,2025 dollars
10,-58.77728869316752,presub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,2025 dollars
Total,-25.34672674278022,presub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,2025 dollars
1,-26.552932316180772,postsub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,2025 dollars
2,-26.54809891608454,postsub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,2025 dollars
3,-31.182116922400382,postsub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,2025 dollars
4,-32.54119771226942,postsub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,2025 dollars
5,-39.36821279692629,postsub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,2025 dollars
6,-44.78224870762733,postsub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,2025 dollars
7,-50.103031649791205,postsub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,2025 dollars
8,-57.83581654009163,postsub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,2025 dollars
9,-67.13274914121962,postsub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,2025 dollars
10,-113.52915149967248,postsub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,2025 dollars
Total,-48.957555620226344,postsub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,2025 dollars
