category,value,substitution,scenario,measure,basis
4,281.4691420696884,postsub,tracker_no_fl_301_2026-08-11,delta_vs_default,2025 dollars
5,340.52025923402874,postsub,tracker_no_fl_301_2026-08-11,delta_vs_default,2025 dollars
6,387.34963707051077,postsub,tracker_no_fl_301_2026-08-11,delta_vs_default,2025 dollars
7,433.3724117425464,postsub,tracker_no_fl_301_2026-08-11,delta_vs_default,2025 dollars
8,500.25809763915163,postsub,tracker_no_fl_301_2026-08-11,delta_vs_default,2025 dollars
9,580.6730739487842,postsub,tracker_no_fl_301_2026-08-11,delta_vs_default,2025 dollars
10,981.9845340377271,postsub,tracker_no_fl_301_2026-08-11,delta_vs_default,2025 dollars
Total,423.4644741751005,postsub,tracker_no_fl_301_2026-08-11,delta_vs_default,2025 dollars
1,3.4768571156666894,presub,tracker_no_polysilicon_2026-08-11,delta_vs_default,2025 dollars
2,3.476224227316834,presub,tracker_no_polysilicon_2026-08-11,delta_vs_default,2025 dollars
3,4.083005364990413,presub,tracker_no_polysilicon_2026-08-11,delta_vs_default,2025 dollars
4,4.260964230653826,presub,tracker_no_polysilicon_2026-08-11,delta_vs_default,2025 dollars
5,5.154897740264232,presub,tracker_no_polysilicon_2026-08-11,delta_vs_default,2025 dollars
6,5.86381489700068,presub,tracker_no_polysilicon_2026-08-11,delta_vs_default,2025 dollars
7,6.5605214532893115,presub,tracker_no_polysilicon_2026-08-11,delta_vs_default,2025 dollars
8,7.573057012436493,presub,tracker_no_polysilicon_2026-08-11,delta_vs_default,2025 dollars
9,8.790403024666603,presub,tracker_no_polysilicon_2026-08-11,delta_vs_default,2025 dollars
10,14.865576182962286,presub,tracker_no_polysilicon_2026-08-11,delta_vs_default,2025 dollars
Total,6.410532124924657,presub,tracker_no_polysilicon_2026-08-11,delta_vs_default,2025 dollars
1,2.770855867494163,postsub,tracker_no_polysilicon_2026-08-11,delta_vs_default,2025 dollars
2,2.770351491749409,postsub,tracker_no_polysilicon_2026-08-11,delta_vs_default,2025 dollars
3,3.2539212847191266,postsub,tracker_no_polysilicon_2026-08-11,delta_vs_default,2025 dollars
4,3.395744302085518,postsub,tracker_no_polysilicon_2026-08-11,delta_vs_default,2025 dollars
5,4.108158079198347,postsub,tracker_no_polysilicon_2026-08-11,delta_vs_default,2025 dollars
6,4.673124426092272,postsub,tracker_no_polysilicon_2026-08-11,delta_vs_default,2025 dollars
7,5.22835962420163,postsub,tracker_no_polysilicon_2026-08-11,delta_vs_default,2025 dollars
8,6.035292437881708,postsub,tracker_no_polysilicon_2026-08-11,delta_vs_default,2025 dollars
9,7.005447445275877,postsub,tracker_no_polysilicon_2026-08-11,delta_vs_default,2025 dollars
10,11.847012292982072,postsub,tracker_no_polysilicon_2026-08-11,delta_vs_default,2025 dollars
Total,5.108826725168001,postsub,tracker_no_polysilicon_2026-08-11,delta_vs_default,2025 dollars
